2016-10-03 07:05:24.7809 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:25.0648 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:25.0805 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:25.3800 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:25.3800 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:25.6796 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:25.7169 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:26.0478 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:26.0634 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:27.8451 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:27.8607 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:28.1447 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:28.1603 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:30.9718 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:31.0092 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:31.2875 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:31.3007 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:31.5710 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:31.5968 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:32.0390 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:32.0546 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:40.1584 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:05:40.1750 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
