2016-10-05 18:01:44.3399 | VeraHuesBridge.LightsController | INFO | LightsController GET: Returned DeviceResponse for device named[Big Light], with id [0f815d1e-335b-4ed6-87a6-c7a68a996f47] |  
2016-10-05 18:01:44.5059 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-05 19:10:36.3666 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-05 19:10:36.4679 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-05 19:10:36.5785 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-05 19:10:36.6774 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-05 19:10:36.8356 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-05 19:10:36.8356 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-05 19:10:36.8580 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-05 19:10:36.8580 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-05 19:10:37.1813 | VeraHuesBridge.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-05 19:10:37.1813 | VeraHuesBridge.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-05 19:10:37.3986 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-05 19:10:37.3986 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-05 19:10:37.4210 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-05 19:10:37.4210 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-05 19:10:37.4347 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-05 19:10:37.4347 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-05 19:10:37.4347 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-05 19:10:37.4425 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 00:00:35.4251 | VeraHuesBridge.SSDPService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-10-06 00:00:35.5575 | VeraHuesBridge.SSDPService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-10-06 00:00:35.5575 | VeraHuesBridge.SSDPService | INFO | Joining multicast group on IP [192.168.0.176]... |  
2016-10-06 00:00:35.6639 | VeraHuesBridge.SSDPService | INFO | Starting Multicast Receiver... |  
2016-10-06 00:00:35.6639 | VeraHuesBridge.SSDPService | INFO | SSDP Service started. |  
2016-10-06 00:00:35.8475 | VeraHuesBridge.WebServer | INFO | New webserver initiated. |  
2016-10-06 00:00:35.8475 | VeraHuesBridge.Devices | INFO | Created Devices from object |  
2016-10-06 00:00:35.8651 | VeraHuesBridge.Devices | INFO | Created [2] Device(s) from object. |  
2016-10-06 00:00:35.8651 | VeraHuesBridge.WebServer | INFO | Webserver created.  DeviceConfig holds [2] device(s) |  
2016-10-06 00:00:35.9041 | VeraHuesBridge.WebServer | INFO | Webserver starting up, listening on http://192.168.0.176:8080/ |  
2016-10-06 00:00:36.6810 | VeraHuesBridge.WebServerStartup | INFO | Webserver configuration initiated... |  
2016-10-06 00:00:37.1722 | VeraHuesBridge.WebServer | INFO | Webserver started. |  
2016-10-06 00:00:44.9542 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 00:00:44.9571 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 00:12:30.9894 | VeraHuesBridge.SSDPService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-10-06 00:12:31.0792 | VeraHuesBridge.SSDPService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-10-06 00:12:31.0831 | VeraHuesBridge.SSDPService | INFO | Joining multicast group on IP [192.168.0.176]... |  
2016-10-06 00:12:31.0831 | VeraHuesBridge.SSDPService | INFO | Starting Multicast Receiver... |  
2016-10-06 00:12:31.0831 | VeraHuesBridge.SSDPService | INFO | SSDP Service started. |  
2016-10-06 00:12:31.2687 | VeraHuesBridge.WebServer | INFO | New webserver initiated. |  
2016-10-06 00:12:31.2687 | VeraHuesBridge.Devices | INFO | Created Devices from object |  
2016-10-06 00:12:31.2843 | VeraHuesBridge.Devices | INFO | Created [2] Device(s) from object. |  
2016-10-06 00:12:31.2843 | VeraHuesBridge.WebServer | INFO | Webserver created.  DeviceConfig holds [2] device(s) |  
2016-10-06 00:12:31.3834 | VeraHuesBridge.WebServer | INFO | Webserver starting up, listening on http://192.168.0.176:8080/ |  
2016-10-06 00:12:31.8834 | VeraHuesBridge.WebServerStartup | INFO | Webserver configuration initiated... |  
2016-10-06 00:12:32.2335 | VeraHuesBridge.WebServer | INFO | Webserver started. |  
2016-10-06 00:13:05.1292 | VeraHuesBridge.LightsController | INFO | LightsController PUT called. Updating light with id0f815d1e-335b-4ed6-87a6-c7a68a996f47]... |  
2016-10-06 00:13:05.1292 | VeraHuesBridge.Devices | INFO | Finding device with id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]... |  
2016-10-06 00:13:05.1468 | VeraHuesBridge.Devices | INFO | Found device named [Big Light] with id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 00:13:05.1468 | VeraHuesBridge.LightsController | INFO | Replacing IntensityValue... |  
2016-10-06 00:13:05.1678 | VeraHuesBridge.LightsController | INFO | DeviceState was on but brightness value was zero. Setting to default brightness. |  
2016-10-06 00:13:05.1678 | VeraHuesBridge.LightsController | INFO | Replacing IntensityValue... |  
2016-10-06 00:13:05.1678 | VeraHuesBridge.LightsController | INFO | DeviceState was on but brightness value was zero. Setting to default brightness. |  
2016-10-06 00:13:05.1678 | VeraHuesBridge.LightsController | INFO | Empty request. No intensity value to replace. |  
2016-10-06 00:13:05.1795 | VeraHuesBridge.Utilities | INFO | Performing HTTPRequest URL:[http://192.168.0.161/api/Testing/1/Control.On], Method: [], ContentType: [], Body: [] |  
2016-10-06 00:13:05.2417 | VeraHuesBridge.Utilities | INFO | HTTPRequest returned with StatusCode [OK] and ReasonPhrase [OK], |  
2016-10-06 00:13:05.2417 | VeraHuesBridge.LightsController | INFO | LightsController PUT: Successfully updated state of device via HTTP request. |  
2016-10-06 00:13:05.4021 | VeraHuesBridge.LightsController | INFO | LightsController called (// GET  api/{userId}/lights/{id}) Retrieving light with id[0f815d1e-335b-4ed6-87a6-c7a68a996f47]... |  
